物品名称,金,木,水,火,土
blue_orchid ,5,10,3,3,7
allium ,10,3,3,3,13
azure_bluet ,4,11,5,3,13
red_tulip ,1,10,4,6,4
orange_tulip ,9,5,3,4,12
white_tulip ,1,10,2,1,11
pink_tulip ,10,7,3,8,12
oxeye_daisy ,2,2,6,1,5
cornflower ,3,9,8,5,12
lily_of_the_valley ,3,1,6,9,6
wither_rose ,3,1,5,14,5
brown_mushroom ,7,8,6,6,5
red_mushroom ,11,10,3,1,11
gold_block ,44,6,9,18,1
iron_block ,44,10,10,22,3
oak_slab ,10,14,11,10,6
spruce_slab ,6,10,4,11,8
birch_slab ,2,5,8,7,11
jungle_slab ,8,12,2,1,2
acacia_slab ,10,12,8,3,11
dark_oak_slab ,8,5,4,3,8
stone_slab ,10,2,4,3,13
smooth_stone_slab ,8,8,4,4,12
sandstone_slab ,2,10,10,9,9
cut_sandstone_slab ,3,10,9,3,5
petrified_oak_slab ,4,5,9,7,9
cobblestone_slab ,10,2,10,7,7
brick_slab ,11,2,7,6,9
stone_brick_slab ,10,11,8,8,13
nether_brick_slab ,2,7,11,16,5
quartz_slab ,3,11,9,10,8
red_sandstone_slab ,6,8,1,8,6
cut_red_sandstone_slab ,11,7,10,10,14
purpur_slab ,7,6,3,10,12
prismarine_slab ,9,10,11,5,18
prismarine_brick_slab ,9,8,12,3,18
dark_prismarine_slab ,5,2,15,10,15
smooth_quartz ,31,4,6,4,36
smooth_red_sandstone ,3,10,9,10,13
smooth_sandstone ,8,1,1,15,11
smooth_stone ,2,3,3,14,18
bricks ,2,7,6,9,8
tnt ,10,2,2,59,1
bookshelf ,8,42,6,9,7
mossy_cobblestone ,2,15,1,3,13
obsidian ,30,11,3,59,50
torch ,5,14,10,13,1
end_rod ,8,4,2,23,5
chorus_plant ,1,4,6,11,17
chorus_flower ,2,5,1,4,15
purpur_block ,10,7,2,2,26
purpur_pillar ,3,7,4,11,25
purpur_stairs ,6,10,7,8,14
spawner ,44,3,4,21,9
oak_stairs ,10,17,6,9,9
chest ,4,21,1,2,6
diamond_ore ,40,3,7,1,33
diamond_block ,64,7,9,8,59
crafting_table ,11,16,9,1,1
farmland ,3,2,16,8,15
furnace ,7,5,8,12,21
ladder ,11,16,9,10,3
rail ,26,21,7,5,6
cobblestone_stairs ,5,4,11,9,16
lever ,6,12,5,10,3
stone_pressure_plate ,11,2,3,2,9
oak_pressure_plate ,3,13,11,3,4
spruce_pressure_plate ,1,10,3,7,7
birch_pressure_plate ,2,8,4,5,2
jungle_pressure_plate ,5,8,8,9,1
acacia_pressure_plate ,2,12,7,3,1
dark_oak_pressure_plate ,6,10,11,9,2
redstone_ore ,12,7,9,3,18
redstone_torch ,7,10,7,12,6
stone_button ,4,3,1,4,7
snow ,11,3,4,3,3
ice ,2,5,63,5,6
snow_block ,8,8,43,7,19
cactus ,2,13,8,18,10
clay ,6,1,11,3,9
jukebox ,40,23,2,5,4
oak_fence ,1,12,3,4,2
spruce_fence ,3,10,9,11,7
birch_fence ,2,14,5,8,1
jungle_fence ,5,13,9,10,6
acacia_fence ,5,13,10,1,4
dark_oak_fence ,7,11,10,6,2
pumpkin ,8,14,1,11,16
carved_pumpkin ,10,21,2,8,15
netherrack ,6,2,4,15,12
soul_sand ,9,11,5,15,14
glowstone ,15,3,5,7,10
jack_o_lantern ,1,8,5,16,15
oak_trapdoor ,9,8,8,5,4
spruce_trapdoor ,7,3,9,10,11
birch_trapdoor ,11,11,1,3,5
jungle_trapdoor ,7,12,2,5,10
acacia_trapdoor ,4,5,4,5,4
dark_oak_trapdoor ,3,10,7,11,2
infested_stone ,9,6,5,4,18
infested_cobblestone ,7,2,1,10,13
infested_stone_bricks ,3,4,2,10,15
infested_mossy_stone_bricks ,9,3,3,8,10
infested_cracked_stone_bricks ,1,3,5,10,16
infested_chiseled_stone_bricks ,9,4,10,8,14
stone_bricks ,6,1,3,3,10
mossy_stone_bricks ,7,12,4,6,12
cracked_stone_bricks ,4,11,9,2,14
chiseled_stone_bricks ,3,4,7,4,17
brown_mushroom_block ,5,18,10,10,9
red_mushroom_block ,6,12,5,4,6
mushroom_stem ,10,18,5,7,5
iron_bars ,19,7,6,11,8
glass_pane ,13,9,2,9,15
melon ,11,6,12,11,15
vine ,6,5,11,7,9
oak_fence_gate ,4,13,10,11,3
spruce_fence_gate ,4,13,6,11,3
birch_fence_gate ,5,10,6,9,9
jungle_fence_gate ,8,12,9,2,5
acacia_fence_gate ,4,17,4,1,11
dark_oak_fence_gate ,2,17,1,8,11
brick_stairs ,10,6,5,3,17
stone_brick_stairs ,2,6,1,1,7
mycelium ,8,10,4,3,10
lily_pad ,1,10,2,4,13
nether_bricks ,10,3,10,12,8
nether_brick_fence ,3,3,6,9,7
nether_brick_stairs ,1,7,10,5,8
enchanting_table ,47,48,47,51,43
end_portal_frame ,7,7,4,2,2
end_stone ,2,6,4,11,8
end_stone_bricks ,4,5,11,1,14
dragon_egg ,10,6,6,85,90
redstone_lamp ,26,21,2,12,4
sandstone_stairs ,6,5,9,14,17
emerald_ore ,20,5,6,10,18
ender_chest ,13,1,8,62,31
tripwire_hook ,3,7,4,6,8
emerald_block ,43,11,9,2,27
spruce_stairs ,2,12,11,6,8
birch_stairs ,3,12,11,9,2
jungle_stairs ,6,17,7,7,10
command_block ,1,2,7,3,11
beacon ,85,82,85,89,81
cobblestone_wall ,10,1,1,3,15
mossy_cobblestone_wall ,2,12,9,5,12
brick_wall ,7,11,9,3,15
prismarine_wall ,6,6,15,6,16
red_sandstone_wall ,6,7,10,3,6
mossy_stone_brick_wall ,4,6,3,11,17
granite_wall ,9,10,9,5,8
stone_brick_wall ,2,4,9,9,7
nether_brick_wall ,8,4,1,11,9
andesite_wall ,5,3,1,2,11
red_nether_brick_wall ,7,3,8,6,10
sandstone_wall ,7,6,4,4,10
end_stone_brick_wall ,8,3,6,3,6
diorite_wall ,10,9,10,4,9
oak_button ,7,2,8,4,5
spruce_button ,5,6,8,8,6
birch_button ,9,9,10,2,4
jungle_button ,7,8,11,11,9
acacia_button ,11,5,11,2,6
dark_oak_button ,5,2,1,8,8
anvil ,40,2,1,5,3
chipped_anvil ,31,10,9,10,3
damaged_anvil ,29,11,9,6,7
trapped_chest ,6,19,9,7,1
light_weighted_pressure_plate ,16,8,6,8,10
heavy_weighted_pressure_plate ,17,5,9,8,2
daylight_detector ,21,11,1,3,11
redstone_block ,23,6,9,10,36
nether_quartz_ore ,13,5,5,7,14
hopper ,22,1,9,11,6
chiseled_quartz_block ,21,3,10,7,26
quartz_block ,11,1,9,7,22
quartz_pillar ,12,4,11,9,28
quartz_stairs ,16,8,8,5,26
activator_rail ,30,9,4,6,11
dropper ,13,2,7,10,23
white_terracotta ,7,2,8,6,12
orange_terracotta ,8,4,5,1,13
magenta_terracotta ,6,7,6,4,16
light_blue_terracotta ,5,5,5,9,16
yellow_terracotta ,5,6,5,11,14
lime_terracotta ,2,10,11,3,13
pink_terracotta ,4,6,10,4,11
gray_terracotta ,10,1,7,3,13
light_gray_terracotta ,3,9,2,11,11
cyan_terracotta ,9,8,5,11,14
purple_terracotta ,7,2,4,5,19
blue_terracotta ,5,10,3,1,12
brown_terracotta ,7,9,5,11,17
green_terracotta ,7,7,10,3,12
red_terracotta ,7,10,7,4,20
black_terracotta ,7,4,1,11,20
barrier ,2,1,5,9,2
iron_trapdoor ,27,5,5,10,7
hay_block ,8,20,5,7,12
white_carpet ,5,10,9,10,8
orange_carpet ,10,14,3,3,1
magenta_carpet ,6,13,4,6,10
light_blue_carpet ,7,8,7,2,4
yellow_carpet ,10,16,1,4,5
lime_carpet ,7,11,11,9,4
pink_carpet ,11,11,8,8,2
gray_carpet ,3,12,2,5,6
light_gray_carpet ,10,7,4,6,1
cyan_carpet ,9,11,9,11,9
purple_carpet ,6,12,3,6,11
blue_carpet ,1,8,10,4,10
brown_carpet ,1,17,7,3,10
green_carpet ,7,14,1,10,8
red_carpet ,8,11,3,7,7
black_carpet ,6,13,7,10,8
terracotta ,3,9,3,6,21
coal_block ,21,10,2,11,23
packed_ice ,6,5,56,11,6
acacia_stairs ,6,8,6,10,7
dark_oak_stairs ,10,13,5,8,8
slime_block ,2,9,42,6,9
grass_path ,4,4,5,1,6
sunflower ,9,12,9,8,3
lilac ,3,13,9,4,10
rose_bush ,6,3,7,7,6
peony ,2,9,6,10,5
tall_grass ,7,10,8,1,5
large_fern ,1,7,7,11,6
white_stained_glass ,12,11,5,9,16
orange_stained_glass ,11,4,8,11,13
magenta_stained_glass ,14,1,10,14,8
light_blue_stained_glass ,12,11,10,13,15
yellow_stained_glass ,8,2,3,14,10
lime_stained_glass ,14,5,2,12,14
pink_stained_glass ,11,2,4,12,15
gray_stained_glass ,10,6,9,9,14
light_gray_stained_glass ,5,11,8,10,8
cyan_stained_glass ,5,7,5,14,15
purple_stained_glass ,13,7,6,7,11
blue_stained_glass ,15,8,3,14,8
brown_stained_glass ,5,11,7,6,16
green_stained_glass ,8,3,1,12,12
red_stained_glass ,12,2,1,15,10
black_stained_glass ,13,4,1,10,13
white_stained_glass_pane ,6,9,3,9,4
orange_stained_glass_pane ,12,2,10,4,13
magenta_stained_glass_pane ,7,7,10,13,4
light_blue_stained_glass_pane ,5,9,8,8,6
yellow_stained_glass_pane ,6,1,4,10,6
lime_stained_glass_pane ,4,5,1,10,12
pink_stained_glass_pane ,10,5,6,9,9
gray_stained_glass_pane ,8,2,4,10,13
light_gray_stained_glass_pane ,8,2,4,12,7
cyan_stained_glass_pane ,13,6,10,7,4
purple_stained_glass_pane ,6,8,5,11,10
blue_stained_glass_pane ,10,10,8,13,7
brown_stained_glass_pane ,5,4,2,11,8
green_stained_glass_pane ,13,10,11,10,10
red_stained_glass_pane ,11,9,3,3,7
black_stained_glass_pane ,12,10,3,12,13
prismarine ,4,2,14,5,26
prismarine_bricks ,2,4,18,5,22
dark_prismarine ,5,8,17,10,20
prismarine_stairs ,11,4,12,9,18
prismarine_brick_stairs ,7,2,15,3,21
dark_prismarine_stairs ,4,5,14,5,20
sea_lantern ,11,6,18,11,6
red_sandstone ,2,11,6,8,9
chiseled_red_sandstone ,6,1,3,2,17
cut_red_sandstone ,5,7,1,2,11
red_sandstone_stairs ,5,6,9,7,14
repeating_command_block ,6,11,1,1,2
chain_command_block ,8,3,6,9,6
magma_block ,1,11,10,32,26
nether_wart_block ,6,16,4,13,5
red_nether_bricks ,10,4,9,8,10
bone_block ,14,11,7,3,10
structure_void ,7,8,5,2,4
observer ,18,11,1,2,16
shulker_box ,5,9,3,11,21
white_shulker_box ,1,9,1,7,25
orange_shulker_box ,3,9,8,9,22
magenta_shulker_box ,8,8,9,11,17
light_blue_shulker_box ,9,4,3,5,18
yellow_shulker_box ,6,9,9,6,24
lime_shulker_box ,3,4,3,11,22
pink_shulker_box ,2,2,7,9,20
gray_shulker_box ,4,2,3,11,23
light_gray_shulker_box ,8,10,6,11,19
cyan_shulker_box ,4,11,10,7,26
purple_shulker_box ,10,2,8,1,20
blue_shulker_box ,3,9,8,6,21
brown_shulker_box ,9,4,9,7,25
green_shulker_box ,9,5,2,6,26
red_shulker_box ,4,8,7,4,20
black_shulker_box ,9,9,9,3,25
white_glazed_terracotta ,8,8,9,12,14
orange_glazed_terracotta ,3,10,1,7,16
magenta_glazed_terracotta ,6,9,1,8,23
light_blue_glazed_terracotta ,5,9,2,9,13
yellow_glazed_terracotta ,1,9,9,11,21
lime_glazed_terracotta ,3,3,6,9,15
pink_glazed_terracotta ,5,8,2,5,18
gray_glazed_terracotta ,3,11,3,3,14
light_gray_glazed_terracotta ,3,11,1,10,23
cyan_glazed_terracotta ,6,11,8,8,19
purple_glazed_terracotta ,6,5,6,3,22
blue_glazed_terracotta ,7,5,6,7,20
brown_glazed_terracotta ,2,2,7,6,16
green_glazed_terracotta ,11,9,4,5,19
red_glazed_terracotta ,1,6,1,13,21
black_glazed_terracotta ,7,5,2,7,21
white_concrete ,11,5,10,7,17
orange_concrete ,3,2,11,4,18
magenta_concrete ,9,5,11,3,9
light_blue_concrete ,7,1,5,8,14
yellow_concrete ,4,2,8,5,9
lime_concrete ,6,4,6,1,11
pink_concrete ,7,10,8,11,15
gray_concrete ,1,8,4,8,19
light_gray_concrete ,9,5,10,8,18
cyan_concrete ,6,4,5,9,17
purple_concrete ,3,1,6,2,16
blue_concrete ,2,6,5,4,12
brown_concrete ,9,3,8,8,19
green_concrete ,11,11,9,3,17
red_concrete ,9,8,4,8,19
black_concrete ,7,10,12,11,18
white_concrete_powder ,10,7,7,2,21
orange_concrete_powder ,11,7,3,6,17
magenta_concrete_powder ,1,1,3,11,17
light_blue_concrete_powder ,2,1,10,10,12
yellow_concrete_powder ,2,9,10,4,18
lime_concrete_powder ,1,3,4,9,15
pink_concrete_powder ,3,9,9,5,12
gray_concrete_powder ,7,11,7,2,18
light_gray_concrete_powder ,10,3,9,11,11
cyan_concrete_powder ,10,5,10,5,17
purple_concrete_powder ,7,10,11,3,13
blue_concrete_powder ,4,4,1,4,20
brown_concrete_powder ,4,7,6,11,11
green_concrete_powder ,3,11,3,6,15
red_concrete_powder ,3,3,6,4,12
black_concrete_powder ,7,9,2,7,19
turtle_egg ,5,1,27,2,17
dead_tube_coral_block ,3,8,15,9,26
dead_brain_coral_block ,3,5,22,11,24
dead_bubble_coral_block ,11,7,15,5,30
dead_fire_coral_block ,11,6,24,9,29
dead_horn_coral_block ,4,11,18,10,29
tube_coral_block ,5,9,37,11,16
brain_coral_block ,7,8,39,11,21
bubble_coral_block ,9,4,37,3,20
fire_coral_block ,8,9,32,8,13
horn_coral_block ,10,6,36,9,20
tube_coral ,4,8,14,5,8
brain_coral ,2,9,17,2,11
bubble_coral ,10,3,10,9,6
fire_coral ,8,3,18,4,10
horn_coral ,9,7,17,11,7
dead_brain_coral ,3,10,14,5,14
dead_bubble_coral ,1,4,12,2,14
dead_fire_coral ,3,10,9,11,14
dead_horn_coral ,3,9,8,8,15
dead_tube_coral ,2,2,11,3,11
tube_coral_fan ,2,11,19,8,7
brain_coral_fan ,8,10,16,8,10
bubble_coral_fan ,3,11,13,6,10
fire_coral_fan ,4,4,11,5,11
horn_coral_fan ,8,10,17,7,5
dead_tube_coral_fan ,1,6,11,8,14
dead_brain_coral_fan ,4,4,7,5,14
dead_bubble_coral_fan ,5,4,9,2,19
dead_fire_coral_fan ,1,9,11,8,15
dead_horn_coral_fan ,5,4,8,3,19
blue_ice ,10,2,63,7,9
conduit ,7,9,83,5,47
polished_granite_stairs ,1,4,4,10,15
smooth_red_sandstone_stairs ,1,3,2,9,9
mossy_stone_brick_stairs ,6,7,9,1,12
polished_diorite_stairs ,7,1,1,2,14
mossy_cobblestone_stairs ,10,7,3,2,16
end_stone_brick_stairs ,9,1,8,5,11
stone_stairs ,5,8,2,6,8
smooth_sandstone_stairs ,2,10,4,13,8
smooth_quartz_stairs ,12,3,7,9,13
granite_stairs ,9,2,7,7,16
andesite_stairs ,9,9,5,10,14
red_nether_brick_stairs ,5,10,5,9,12
polished_andesite_stairs ,1,8,11,5,8
diorite_stairs ,10,11,5,10,8
polished_granite_slab ,6,2,4,6,9
smooth_red_sandstone_slab ,7,11,1,11,12
mossy_stone_brick_slab ,11,10,9,3,14
polished_diorite_slab ,9,8,11,1,15
mossy_cobblestone_slab ,9,5,5,11,14
end_stone_brick_slab ,5,2,7,10,6
smooth_sandstone_slab ,4,2,10,12,8
smooth_quartz_slab ,3,2,9,11,15
granite_slab ,2,3,11,1,8
andesite_slab ,4,6,1,9,9
red_nether_brick_slab ,8,5,10,4,6
polished_andesite_slab ,7,11,8,4,10
diorite_slab ,4,3,1,3,10
scaffolding ,7,11,6,3,6
iron_door ,20,4,2,11,8
oak_door ,1,12,11,10,5
spruce_door ,6,10,7,8,1
birch_door ,7,9,10,5,9
jungle_door ,1,11,10,6,1
acacia_door ,11,9,4,4,3
dark_oak_door ,6,9,6,7,7
repeater ,21,3,9,3,17
comparator ,20,6,1,12,20
structure_block ,7,1,9,1,4
jigsaw ,9,6,6,5,7
composter ,2,21,6,8,33
turtle_helmet ,15,18,19,8,10
scute ,12,4,11,10,4
iron_shovel ,9,6,2,6,11
iron_pickaxe ,19,3,4,7,3
iron_axe ,18,12,2,3,8
flint_and_steel ,6,10,4,5,7
apple ,2,12,5,3,13
bow ,2,8,11,6,6
arrow ,8,3,9,6,11
coal ,4,5,6,11,12
charcoal ,11,11,5,6,8
diamond ,19,8,7,7,48
iron_ingot ,18,11,10,4,2
gold_ingot ,23,5,5,8,11
iron_sword ,15,3,3,1,4
wooden_sword ,11,17,3,2,1
wooden_shovel ,6,16,8,6,1
wooden_pickaxe ,1,17,2,4,2
wooden_axe ,5,15,3,11,8
stone_sword ,5,10,9,4,19
stone_shovel ,5,7,10,2,10
stone_pickaxe ,2,3,2,7,10
stone_axe ,10,10,9,6,12
diamond_sword ,15,3,1,11,46
diamond_shovel ,17,3,7,6,44
diamond_pickaxe ,13,8,1,9,50
diamond_axe ,16,11,1,11,43
stick ,7,2,2,5,5
bowl ,9,12,1,2,9
mushroom_stew ,9,7,2,4,2
golden_sword ,26,6,9,3,8
golden_shovel ,26,13,6,1,6
golden_pickaxe ,24,12,11,9,3
golden_axe ,25,13,2,4,7
string ,9,3,10,9,10
feather ,1,8,2,7,4
gunpowder ,10,5,11,16,1
wooden_hoe ,7,8,2,9,9
stone_hoe ,6,6,7,8,15
iron_hoe ,11,11,8,8,5
diamond_hoe ,18,6,1,1,48
golden_hoe ,19,10,9,6,4
wheat_seeds ,3,9,3,9,8
wheat ,6,10,10,1,11
bread ,4,10,2,1,16
leather_helmet ,5,10,6,3,6
leather_chestplate ,4,18,7,8,6
leather_leggings ,11,16,3,4,6
leather_boots ,3,12,9,4,1
chainmail_helmet ,14,11,5,5,10
chainmail_chestplate ,10,11,1,1,10
chainmail_leggings ,7,6,1,11,11
chainmail_boots ,7,6,4,8,3
iron_helmet ,19,11,5,9,10
iron_chestplate ,16,7,7,10,10
iron_leggings ,17,9,9,6,6
iron_boots ,19,1,10,11,10
diamond_helmet ,20,1,11,8,43
diamond_chestplate ,20,3,10,3,54
diamond_leggings ,22,9,10,1,52
diamond_boots ,19,7,2,3,46
golden_helmet ,27,1,6,8,11
golden_chestplate ,23,3,1,1,10
golden_leggings ,22,9,11,6,8
golden_boots ,23,10,7,1,6
flint ,8,8,3,3,12
porkchop ,6,2,4,11,15
cooked_porkchop ,4,1,3,6,10
painting ,7,11,11,11,1
golden_apple ,27,13,11,9,3
enchanted_golden_apple ,58,14,4,5,3
oak_sign ,11,14,7,3,8
spruce_sign ,7,10,4,9,11
birch_sign ,3,8,5,9,3
jungle_sign ,9,12,5,7,3
acacia_sign ,2,9,6,1,11
dark_oak_sign ,3,10,7,7,8
bucket ,21,1,10,5,2
water_bucket ,2,1,59,9,8
lava_bucket ,9,1,2,71,21
minecart ,19,1,11,2,5
saddle ,4,10,11,9,6
redstone ,3,4,1,5,16
snowball ,5,5,2,2,4
oak_boat ,6,16,11,7,10
leather ,10,14,8,4,8
milk_bucket ,18,8,47,11,2
pufferfish_bucket ,15,3,51,10,9
salmon_bucket ,18,5,51,4,11
cod_bucket ,19,4,50,4,1
tropical_fish_bucket ,16,10,46,8,8
brick ,3,9,1,8,12
clay_ball ,1,7,8,3,8
sugar_cane ,6,7,4,6,9
kelp ,4,4,5,11,2
dried_kelp_block ,3,9,7,7,5
bamboo ,2,13,5,2,1
paper ,2,2,7,10,7
book ,1,9,9,5,4
slime_ball ,2,15,5,8,15
chest_minecart ,21,21,1,11,10
furnace_minecart ,17,5,2,15,18
egg ,3,13,7,8,1
compass ,36,6,2,16,23
fishing_rod ,6,26,20,2,4
clock ,34,11,8,6,6
glowstone_dust ,10,3,1,13,6
cod ,5,6,20,8,6
salmon ,1,13,11,9,6
tropical_fish ,4,10,13,1,14
pufferfish ,11,10,13,11,8
cooked_cod ,2,6,11,8,8
cooked_salmon ,1,5,17,10,10
ink_sac ,5,10,10,7,15
red_dye ,6,2,10,9,12
green_dye ,3,11,10,6,14
cocoa_beans ,4,12,17,10,6
lapis_lazuli ,10,5,7,8,8
purple_dye ,6,6,14,9,11
cyan_dye ,10,5,9,2,15
light_gray_dye ,4,3,8,7,5
gray_dye ,5,7,10,7,5
pink_dye ,1,7,12,6,15
lime_dye ,3,3,11,1,10
yellow_dye ,5,9,5,6,8
light_blue_dye ,9,4,11,11,14
magenta_dye ,10,3,9,7,6
orange_dye ,1,8,6,10,14
bone_meal ,3,4,14,4,11
blue_dye ,10,3,13,4,7
brown_dye ,7,11,13,6,10
black_dye ,1,6,11,9,10
white_dye ,9,1,7,9,13
bone ,11,2,9,14,9
sugar ,6,10,1,15,3
cake ,8,41,21,18,11
white_bed ,1,26,4,17,7
orange_bed ,3,29,7,23,1
magenta_bed ,2,26,2,16,7
light_blue_bed ,11,26,5,18,5
yellow_bed ,4,30,6,24,6
lime_bed ,3,30,10,20,5
pink_bed ,8,21,7,18,8
gray_bed ,9,28,2,24,5
light_gray_bed ,10,23,6,22,11
cyan_bed ,9,27,2,26,7
purple_bed ,6,27,10,21,10
blue_bed ,3,22,1,19,2
brown_bed ,6,27,7,25,9
green_bed ,11,27,10,18,8
red_bed ,11,25,4,21,7
black_bed ,9,26,7,21,9
cookie ,9,16,18,17,6
filled_map ,2,25,15,10,9
shears ,28,25,8,9,3
melon_slice ,4,14,11,10,4
dried_kelp ,5,17,13,8,5
pumpkin_seeds ,4,12,6,5,9
melon_seeds ,11,9,15,1,8
beef ,10,9,20,17,8
cooked_beef ,5,1,20,22,5
chicken ,9,4,12,13,9
cooked_chicken ,11,6,11,23,7
rotten_flesh ,2,8,21,19,9
ender_pearl ,11,5,11,23,10
blaze_rod ,9,7,14,16,10
ghast_tear ,4,5,10,36,10
gold_nugget ,25,1,11,8,5
nether_wart ,3,23,10,20,4
potion ,21,22,18,20,22
glass_bottle ,5,3,9,19,15
spider_eye ,2,11,10,19,2
fermented_spider_eye ,2,18,19,11,9
blaze_powder ,16,11,5,14,8
magma_cream ,12,7,13,18,11
brewing_stand ,19,24,28,26,8
cauldron ,34,10,27,33,10
ender_eye ,5,18,8,14,16
glistering_melon_slice ,15,16,11,2,5
bat_spawn_egg ,21,12,21,20,16
bee_spawn_egg ,17,16,14,19,14
blaze_spawn_egg ,20,14,11,15,18
cat_spawn_egg ,17,16,17,19,15
cave_spider_spawn_egg ,16,14,13,21,13
chicken_spawn_egg ,17,13,19,17,17
cod_spawn_egg ,19,12,19,11,15
cow_spawn_egg ,12,15,13,18,15
creeper_spawn_egg ,14,15,14,14,13
dolphin_spawn_egg ,20,17,17,12,16
donkey_spawn_egg ,19,11,20,18,17
drowned_spawn_egg ,12,20,21,17,21
elder_guardian_spawn_egg ,17,21,18,16,17
enderman_spawn_egg ,13,14,19,15,14
endermite_spawn_egg ,12,20,11,19,17
evoker_spawn_egg ,16,12,17,19,17
fox_spawn_egg ,13,12,19,11,21
ghast_spawn_egg ,11,18,17,13,11
guardian_spawn_egg ,18,18,21,21,14
horse_spawn_egg ,16,11,13,19,19
husk_spawn_egg ,14,15,18,20,14
llama_spawn_egg ,20,13,18,21,15
magma_cube_spawn_egg ,21,20,21,11,15
mooshroom_spawn_egg ,15,19,12,12,16
mule_spawn_egg ,15,16,18,15,19
ocelot_spawn_egg ,20,20,13,20,21
panda_spawn_egg ,15,15,15,11,12
parrot_spawn_egg ,17,12,17,15,16
phantom_spawn_egg ,15,15,13,11,18
pig_spawn_egg ,20,20,16,16,17
pillager_spawn_egg ,18,20,15,11,11
polar_bear_spawn_egg ,12,14,17,21,20
pufferfish_spawn_egg ,16,14,11,13,15
rabbit_spawn_egg ,18,19,12,17,14
ravager_spawn_egg ,16,21,20,21,21
salmon_spawn_egg ,19,18,20,17,11
sheep_spawn_egg ,13,19,19,20,21
shulker_spawn_egg ,11,15,12,13,15
silverfish_spawn_egg ,11,15,18,15,14
skeleton_spawn_egg ,15,14,13,12,12
skeleton_horse_spawn_egg ,13,19,21,16,17
slime_spawn_egg ,15,17,16,13,11
spider_spawn_egg ,19,21,21,14,17
squid_spawn_egg ,18,17,20,15,13
stray_spawn_egg ,18,20,19,19,13
trader_llama_spawn_egg ,18,14,18,21,17
